#,$,'',(,),,,.,:,CC,CD,DT,EX,FW,IN,JJ,JJR,JJS,LS,MD,NN,NNP,NNPS,NNS,PDT,POS,PRP,PRP$,RB,RBR,RBS,RP,SYM,TO,UH,VB,VBD,VBG,VBN,VBP,VBZ,WDT,WP,WP$,WRB,``
#,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LS,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
MD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NN,0,0,0,0,0,0,0,0,2,18,0,0,11,1,229,0,0,0,0,5507,228,0,62,0,0,2,0,2,0,0,0,0,0,0,11,4,32,8,9,7,0,0,0,0,0
NNP,0,0,0,0,0,0,0,0,0,34,5,0,28,2,132,0,0,0,0,117,4705,39,19,0,0,2,0,1,0,0,0,0,0,0,8,4,5,5,0,7,0,0,0,0,0
NNPS,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,11,51,17,9,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
NNS,0,0,0,0,0,0,0,0,0,10,0,0,4,0,36,0,0,0,0,278,158,9,2435,0,0,0,0,2,0,0,0,0,0,0,2,0,11,14,0,8,0,0,0,0,0
PDT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
PRP,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,924,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRP$,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RB,0,0,0,0,0,0,0,0,3,3,4,3,0,61,42,0,0,0,0,21,32,0,4,0,0,0,0,1225,4,0,24,0,0,2,5,2,5,14,2,7,0,0,0,0,0
RBR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,32,0,0,0,0,0,0,0,0,0,0,0,7,44,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
RBS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SYM,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1014,0,0,1,0,0,0,0,0,0,0,0,0
UH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
VB,0,0,0,0,0,0,0,0,0,11,0,0,0,0,12,0,0,0,0,20,9,0,0,0,0,0,0,1,0,0,0,0,0,0,1082,1,8,8,26,0,0,0,0,0,0
VBD,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7,0,0,0,0,19,16,0,3,0,0,0,0,0,0,0,0,0,0,0,8,1339,17,91,1,16,0,0,0,0,0
VBG,0,0,0,0,0,0,0,0,0,13,0,0,0,0,71,0,0,0,0,68,26,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7,507,32,1,7,0,0,0,0,0
VBN,0,0,0,0,0,0,0,0,0,12,0,0,0,0,65,0,0,0,0,22,17,0,10,0,0,0,0,2,0,0,0,0,0,0,14,54,34,781,0,1,0,0,0,0,0
VBP,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,36,5,0,3,0,0,0,0,0,0,0,0,0,0,0,58,10,5,4,589,3,0,0,0,0,0
VBZ,0,0,0,0,0,0,0,0,0,3,0,0,0,0,10,0,0,0,0,16,16,0,27,0,3,0,0,0,0,0,0,0,0,0,5,12,2,2,1,1000,0,0,0,0,0
WDT,0,0,0,0,0,0,0,0,0,0,1,0,0,22,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175,0,0,0,0
WP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135,0,0,0
WP$,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
WRB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,88,0
``,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,402
